Day,series-1,series-2,series-3,series-4,series-5,series-6,series-7,series-8,series-9,series-10,series-11,series-12,series-13,series-14,series-15,series-16,series-17,series-18,series-19,series-20,series-21,series-22,series-23,series-24,series-25,series-26,series-27,series-28,series-29,series-30,series-31,series-32,series-33,series-34,series-35,series-36,series-37,series-38,series-39,series-40,series-41,series-42,series-43,series-44,series-45,series-46,series-47,series-48,series-49,series-50,series-51,series-52,series-53,series-54,series-55,series-56,series-57,series-58,series-59,series-60,series-61,series-62,series-63,series-64,series-65,series-66,series-67,series-68,series-69,series-70,series-71,series-72
2015-07-15,199945,293850,2872,2956,103326,145041,89283,106762,110934,69130,15550,19606,760449,848888,755507,949514,671433,424624,6177,7812,413725,240060,316585,161735,186007,304809,2090,2428,130162,87132,91815,65812,339113,563281,2981,3905,113576,235515,199952,310358,14479,19504,1547,2034,11242,18299,1724,2634,379450,493760,5861,7383,246172,158279,135525,201979,31799,54513,1034,1151,26729,3847,3587,12398,130493,166282,4529,3469,80965,116448,45536,64143
2015-07-16,202589,310647,2582,2669,100568,153294,110699,107131,103385,66400,20118,22526,681311,786543,738432,942547,736896,397759,5938,7696,376346,245808,363626,163160,171235,288811,2333,2417,125904,86310,94462,64677,366927,458602,2710,3492,123677,181008,224163,414538,12286,21001,2103,2121,11923,20574,1489,1476,397597,501089,6180,7424,252985,158444,148417,209217,29166,53769,742,960,23587,3802,3644,12188,123582,180073,4072,3249,82795,106123,45880,63259
2015-07-17,231633,315716,2191,2542,100225,119752,142312,151300,106841,66861,18347,21931,595485,768264,744061,959106,572511,391009,7186,10031,325298,223337,280455,142555,168015,257900,2061,2383,110828,78592,108982,57825,560620,613871,2805,3576,114962,164463,241941,386365,11210,18002,2661,3679,10390,16263,1314,1245,412276,485221,6390,8144,245601,154564,176093,210240,27576,57498,824,1086,22443,4135,3493,11992,118802,178501,4105,3082,78155,104524,49179,62400
2015-07-18,212079,307462,2778,3132,75219,107791,130922,171339,102142,60767,16053,19983,486760,655983,774691,1041374,499337,335059,5137,6404,247513,160776,266965,146568,229627,259422,2292,2407,101427,71692,109799,71123,363756,510428,2813,3242,100478,132370,256055,363552,9028,14575,3350,4039,7707,12294,1429,1465,386378,475417,5743,6854,222788,130004,160535,220178,23523,49882,753,996,17966,3052,3532,13074,122868,177435,4043,3517,73561,97645,61005,68740
2015-07-19,360953,461457,3326,3346,110231,153767,187165,308126,113020,66799,18426,20619,490497,684237,824861,1135553,564912,369937,6443,7697,274077,173625,314915,155655,242508,299080,2732,2986,115670,79008,134638,99037,387519,498613,2956,3367,106460,124152,254937,405481,7268,11685,2081,2378,6148,9700,957,1168,443352,510904,6500,8271,253131,159533,184184,247264,25120,54073,637,842,19903,3016,4256,13822,132205,206082,5233,4156,85360,115112,65862,80157
2015-07-20,292269,374521,2483,2922,116842,183117,110436,156072,113597,69164,16074,18320,565427,811195,713915,1008581,612919,449922,6790,8305,348841,246473,318529,168085,206568,270775,2208,2595,123684,89260,102815,65603,424524,456167,2670,3197,113809,132672,272190,365567,13107,19803,3290,5407,12166,17534,1169,1663,424699,580115,6490,8216,268576,169626,155768,214467,28782,57830,711,935,23895,3770,3669,13008,131506,193605,4791,3900,88820,125059,49403,63560
2015-07-21,215218,301667,2228,2381,94317,145309,99553,123070,110073,64737,12937,16057,543407,772240,634716,1037681,602293,375719,4631,5705,366429,222078,273239,159043,194382,250606,2185,2256,116450,82230,93615,65118,374857,409730,2384,2828,116982,135758,215219,329070,11734,18155,2548,3896,11190,16278,846,1128,402933,552862,4976,6160,251608,165214,146301,203964,25492,53908,841,1043,22275,3519,3332,12687,126369,198542,3106,2897,90249,128179,51188,62090
2015-07-22,203311,309163,2381,2565,92356,151210,94016,116642,116721,67044,16656,18544,543432,733890,624608,991059,602338,548825,4257,5603,541313,211648,263000,170549,190767,263204,2469,2746,119345,85278,93369,86354,433341,442630,2781,3244,116018,137860,246507,309239,11581,17310,1726,2479,11191,15744,744,972,391767,540413,5114,6603,246098,156528,145592,200041,26320,53071,721,1076,22093,3716,3721,12752,141418,191262,4671,3951,100238,118780,50965,65050
2015-07-23,204387,297717,1956,2133,85759,138409,97520,116948,110043,62887,12505,14477,508305,707779,581930,930852,605992,430551,4279,5090,341225,205522,266063,162617,179745,264747,1612,1946,116540,83513,95238,65560,338264,417523,2192,2503,132319,131261,223366,297060,13865,20495,4164,6608,13087,18083,1141,1801,328547,483070,4394,4845,210976,136229,130184,186686,24931,50939,694,936,21195,3499,3181,13320,110492,162903,4840,3648,73992,102095,47867,65208
2015-07-24,196155,304859,2154,2179,83004,123719,100409,122827,300826,64057,9855,13748,478216,695433,601579,929973,531199,343800,3321,4878,285256,175174,248243,141930,191305,254745,2108,2490,112982,84479,95199,57877,280991,397956,2281,2373,111469,111054,180956,338370,12342,19020,3147,4210,11658,17004,1066,1370,310190,435575,3410,4169,194082,118387,116918,168585,24756,52230,752,877,20643,3079,3359,13820,97588,138132,2389,2124,62939,84477,43357,54309
2015-07-25,236366,332385,2731,3055,75154,124021,135079,163496,108130,67649,11434,14618,430342,638598,701249,1053568,491398,326579,3633,4933,221368,138674,240591,158471,202683,255632,2565,2702,103604,66378,94993,73628,278454,400108,2258,2663,85489,100328,190758,332359,8038,12792,2026,2478,7125,11037,859,1095,287874,380002,3152,3729,170297,102168,111691,170532,22536,49611,649,876,18818,3135,5031,12904,100415,145822,3249,2644,57108,84786,43426,56950
2015-07-26,252087,342637,2067,2515,77016,131916,137118,187447,112460,62805,13154,14579,471605,662645,814473,1112494,593426,361828,3216,3780,246897,153461,285543,180113,217478,309532,1723,1891,128702,76960,108108,88092,303862,444699,1687,2152,87219,105805,223901,340449,7193,11988,1434,1385,6244,10479,910,929,328415,430818,3136,4205,194655,112612,146154,198701,25344,52805,571,768,20387,3500,3876,13212,111989,166681,2582,1975,66655,81692,45925,69311
2015-07-27,239950,290908,1926,1975,97297,141430,117007,119885,110193,66334,12795,13974,542067,749117,706270,968924,577077,364697,3396,4172,322707,192008,282101,191049,205816,273885,1744,1884,126328,83195,92614,58737,283023,426013,1774,2122,121392,122764,173302,288502,11106,18050,1736,2382,10488,16717,710,886,317786,481083,4066,5281,204393,124502,117804,190516,26410,56356,592,776,23702,3903,3637,12229,98716,151194,2518,1886,70958,84784,39221,55521
2015-07-28,225976,288569,2186,2464,97014,140041,102366,118957,108389,66318,13678,18938,533909,743088,643070,938194,596755,340325,5008,6460,333979,187122,258036,162022,187547,249419,2233,2482,113572,78083,89691,56937,291158,437141,2411,2817,100843,120537,172897,326657,12827,19608,2274,2823,12423,17849,983,1125,313778,414804,3984,4953,197328,123079,115020,181762,29890,54757,729,925,22059,4045,3582,12056,91999,139340,2753,2106,63231,83631,38791,52458
2015-07-29,204867,301076,3130,3161,87718,149061,95662,115412,107836,69593,14382,16999,513739,701139,608068,879520,565070,327199,5743,7548,328438,181362,253851,165146,176559,232239,2957,2996,108829,75590,88791,69093,288319,428820,3232,3633,91831,119692,201380,348752,13187,21934,2020,2626,13485,20746,896,1126,299080,411980,4623,5412,200003,118060,101800,164333,27923,54657,836,1060,22589,3753,3904,11777,97063,146255,3998,3064,65454,94068,36699,53121
2015-07-30,210668,296812,2107,2317,91371,131749,96459,125180,111593,67115,13812,16072,479391,679029,576180,862318,573824,323414,3385,3847,319492,179280,259637,157002,180634,263051,1705,1784,109478,72580,86242,60715,276518,376573,1752,2155,91993,115360,206555,288387,11170,19525,1676,3224,10421,18569,804,959,304655,399511,3289,4014,197049,121298,102324,156068,26173,53512,735,872,22158,3879,3520,11648,112864,139300,2461,1998,79183,80456,35973,50895
2015-07-31,219802,266007,2026,2111,83761,123740,94363,125636,99147,66007,14138,16056,455551,664882,585666,891074,653154,277630,2794,4033,274878,153310,233389,135259,176494,237812,1580,1714,97614,70410,80572,56328,259876,335282,1684,2134,92298,106803,171103,237024,10315,17999,1179,1595,9678,16989,655,799,299657,395102,4374,5423,191114,123861,108925,156173,24506,49490,739,875,21122,3264,4480,13773,108108,130675,2313,1883,78624,77326,36284,48581
2015-08-01,214796,264691,2527,2488,61976,99445,124415,141131,99771,62495,10937,13826,413092,563308,696887,1030407,441721,271917,5115,6029,208810,124510,225381,140824,197829,235933,1855,2249,85664,60517,106462,60304,287425,364241,1731,2394,72146,97728,180936,274226,8520,15435,1118,1296,7717,14312,629,775,270463,341489,3833,4188,152777,97908,104844,153587,23632,47779,596,803,19896,3334,3544,12260,85664,124757,2149,1856,53782,66297,41906,54187
2015-08-02,242873,316121,3746,2495,68257,110955,162191,165310,111847,61945,13454,12513,462206,625301,784818,1132856,568178,285298,3491,3968,227084,150063,269792,156232,183876,261809,1821,1924,94237,62403,101026,58667,328563,401129,1765,2213,76388,103545,221552,288651,8475,16385,900,1171,7630,16049,605,828,303021,386333,4167,4803,190490,125421,118457,171847,22667,47494,636,833,18148,3051,3747,13190,97881,147956,2558,1939,61233,74385,46769,58518
2015-08-03,186606,306041,1953,2141,77323,120353,89589,104502,109946,61487,11836,11083,485465,679015,626242,898818,548522,282773,3434,3830,278783,168714,234885,142025,192773,227120,1772,1854,98714,74682,87907,48506,294883,440780,1978,2371,98483,136969,204373,309634,10144,17404,1333,1914,9322,15761,901,958,320059,448708,4463,5528,222365,138949,113188,165173,28484,46875,625,775,23085,3115,3306,10968,108805,154749,2993,2483,77442,88466,44161,57966
2015-08-04,235352,329450,1916,2181,90220,137800,111186,135537,128679,66332,12136,14273,561373,735097,623474,926001,626102,337494,4362,5786,360078,200796,275225,156748,216068,286458,2326,2408,112982,85372,107196,60655,323219,455631,2263,2811,104594,136772,228120,333177,12166,19239,1558,1985,11209,17136,1037,1182,394657,507782,4881,6005,252932,153665,136114,195734,26210,53857,613,799,22602,4988,3604,11872,129297,179690,3026,2781,92568,104605,48200,63952
2015-08-05,215416,291787,2037,2044,84287,131243,97180,134926,187776,65213,10979,15739,531618,775081,622479,1000537,631980,334719,4616,5977,360849,191513,276278,161986,192767,266411,2082,2155,104021,77758,96576,55997,351795,543530,2076,2566,104301,141215,258402,326381,11828,18558,1264,1559,10972,17254,812,1008,389019,492793,4486,5457,242967,151578,127374,194649,27004,54539,667,826,22195,7646,3842,12686,138002,193570,2981,2084,91912,115885,53801,68475
2015-08-06,249769,328185,2103,2222,82622,129559,111109,140286,116492,66996,10139,17892,530337,763002,621169,944866,614879,353730,4567,5938,357078,204108,269718,174888,188038,256627,1497,1789,103015,75820,95338,59779,367445,536618,2093,2648,107645,151423,286990,404935,11623,18503,1430,2036,11000,17436,849,997,377510,506903,5008,6309,248510,152054,136471,200741,29767,55475,591,799,25168,6541,4162,13855,124592,206755,2604,2299,91131,119140,48153,65867
2015-08-07,232616,312208,1899,2297,80548,129274,146792,149069,107243,65177,10769,18784,564997,723984,621772,1041067,550026,312172,3406,4823,306450,169781,258892,160763,202076,261542,1681,1871,107374,74048,101609,71682,366367,514697,1928,2618,114918,142166,235036,370042,10241,16147,1024,1256,9791,14605,830,964,365171,547732,4929,5980,245878,147259,142306,215564,26954,52904,717,989,22312,4951,3485,11920,111377,169099,2406,2098,76976,93409,55197,72789
2015-08-08,244226,307555,2410,2731,68939,113902,144372,155083,122124,61333,11029,15699,488215,590166,709797,1113584,503957,292372,4157,4928,255654,141178,252896,161354,258649,288979,1805,1969,101216,83474,132997,111455,431113,505545,2249,2452,102622,132647,299941,400183,11151,14720,1150,1710,10506,13653,807,985,351554,520546,4429,5353,210878,130864,156318,208157,23408,50108,630,836,18347,3274,3787,13396,118940,177794,2011,1891,74552,115082,64174,85303
2015-08-09,376143,384883,2458,2856,75603,137369,174236,320248,139819,63792,11675,14276,491039,630376,802946,1258649,586471,327437,3928,4964,278269,156480,287898,189450,293253,341667,1873,2101,121898,93950,144093,80372,409156,551685,2470,2778,103408,132103,291910,458116,10154,12501,1032,1425,9722,11449,760,811,387533,518325,4141,4831,229658,136455,169169,230630,23949,50982,611,766,18307,3405,3869,13995,148130,173287,3324,3313,77384,104528,70373,86097
2015-08-10,225247,286219,1974,2117,82581,137592,99352,138420,117930,71819,8606,15476,513984,697893,684910,1047324,606734,334471,3209,4163,327545,179905,292380,172995,216124,255721,1623,1924,110132,77918,95218,60224,388745,490521,1931,2607,115655,157155,247349,392274,12418,17500,1231,1752,11957,16515,791,910,363960,509330,3587,4409,235163,140520,132973,190674,24196,53636,613,763,20999,3597,3473,12542,115067,179515,3481,2186,81263,99568,54269,64878
2015-08-11,234051,288793,2023,2212,100478,143929,101144,126013,115385,111760,10324,17969,550536,735311,632331,1017269,689619,367641,4371,5569,396239,216638,309370,171087,207312,269965,1955,2319,116345,79594,97965,61365,345775,446599,2279,2832,111590,149600,240257,363339,12287,19962,1500,2789,11581,19660,1025,1190,386147,529023,4748,5374,242345,151874,131958,192920,25646,53420,582,772,21302,3931,3607,11957,112982,198095,3468,2449,84484,118869,47903,61450
2015-08-12,208985,288608,2332,4274,98774,161932,99937,124977,112091,67076,10784,18397,572426,718366,598295,1009670,653078,370309,4220,5334,393574,221087,278326,171915,203287,268845,1817,2081,110119,81880,100871,60277,377636,547389,2548,3112,107696,143234,257263,392854,12224,19422,2696,3528,11236,17559,1604,1694,373160,531334,5649,6982,236797,152634,127015,196291,26077,56529,510,698,22019,4400,3778,12428,113308,169205,2513,2277,82568,103520,47557,63997
2015-08-13,235504,288785,2417,2881,95729,170004,99328,162906,110968,65844,13564,19176,586824,700848,625501,1002003,623893,368249,3977,5413,378301,213445,273330,166432,222765,267487,1653,2136,118578,80853,104226,68375,405101,573392,2162,2665,108723,153079,260810,413965,12807,19730,2176,3632,11873,18048,1403,1514,376449,517270,5398,6594,239786,151168,127894,193902,25658,55955,558,751,21520,4402,3875,12415,119935,171353,2584,2219,85671,103577,52119,67044
2015-08-14,239949,312329,3636,2643,93263,144930,137072,181761,110505,62031,14509,20237,560453,688717,668318,1140439,538302,318718,4255,5676,315448,178656,240606,158512,260760,311275,2106,2355,119228,83929,115905,74709,494026,544052,2208,2668,119181,146014,282523,412383,11994,16335,1911,2445,11136,14578,1177,1358,383268,506878,5561,6946,229642,145779,135788,198282,25913,55519,536,786,21435,4247,3715,12711,127743,172960,2636,2085,81299,106169,58084,67468
2015-08-15,237065,311107,2267,3025,93724,125108,140176,201324,105855,58313,11036,18065,498520,578127,716651,1256352,471499,283755,3643,4286,236741,139049,238561,169020,279493,263571,1988,2253,107169,85226,114583,75249,504756,618427,2415,3045,103646,186367,311208,440628,8535,13247,1201,1659,7514,11600,1020,1295,377613,482114,5121,6718,210531,130419,156264,243335,24357,51017,687,920,18997,4294,4259,16351,133065,200659,2795,1887,79605,100086,64913,79047
2015-08-16,301043,413358,2853,3239,97120,148028,164614,281504,139526,64312,12071,21914,473907,632292,827784,1328525,540016,325523,4061,4591,259563,159114,265552,176863,257541,305203,1964,2246,125250,79259,129150,74659,460415,561279,2168,2914,109995,145036,294736,459226,7288,12949,1281,1643,6730,11252,782,921,409551,559592,5126,6330,231767,143318,158467,264305,25417,52129,736,910,19374,4149,4133,15166,141323,199062,2879,2174,84370,112318,64305,82789
2015-08-17,259180,426252,2536,2610,103429,187681,128066,214987,133290,66043,10373,17838,605284,741829,676021,1166647,641302,376232,4072,4795,378761,213184,290139,184935,262404,288605,1868,2221,127695,93550,97441,75442,397334,505159,2150,2627,122186,172915,241962,390848,11768,17532,1125,1671,11422,16433,663,853,412636,565420,5059,6515,252784,168736,173162,209859,28203,62300,653,813,23860,6367,3891,12991,121629,194295,3354,2806,88361,112588,49721,66297
2015-08-18,249899,348386,2249,2720,100845,181458,101768,171879,131642,68654,13956,16891,557869,768859,624823,1044534,687985,388197,3937,5069,421807,231973,299711,191556,226650,287878,1551,1994,124394,80500,103228,71858,377879,524308,1813,2436,120413,160983,240128,334709,12041,19311,1455,1824,11546,18254,859,1011,386064,549076,5410,6627,246833,154846,145817,202704,38023,60170,695,938,22107,5124,4142,12568,133623,196329,3136,2467,87821,117345,50689,66215
2015-08-19,220898,305298,2034,2374,94823,169614,106723,146115,116217,65458,11163,18435,683142,735367,609495,982777,682237,370518,3898,5480,414230,222707,285363,185275,210120,289346,1660,2048,113635,80233,103121,65707,371251,495994,2082,2474,116060,147872,253938,339109,11924,19289,1975,2463,10834,17248,1418,1676,352798,496741,5088,6233,231666,144926,124495,182158,29854,60586,725,925,24640,5354,4569,12691,121163,169395,2754,1925,83626,108100,47259,62041
2015-08-20,214096,280415,1834,2314,89939,146378,129067,134820,108927,71018,10802,20114,511446,709449,601894,984606,637014,347235,3837,5489,379914,216960,266391,165611,199750,276398,1477,1826,115922,75229,98783,62262,360397,454932,1703,2167,113260,147321,270727,325564,11794,17475,1960,2163,10924,15866,1102,1283,312730,441761,4364,5599,212214,127336,108267,170326,34819,61892,658,978,27396,5916,4090,12131,100530,142619,1868,1465,65872,84114,39292,53392
2015-08-21,210645,286075,2055,2431,86264,134547,140339,155719,398807,64732,12076,20275,485649,675310,608313,947040,590032,321542,3787,5196,343239,190847,252125,169306,205064,271713,2012,2153,110006,76108,101202,65153,356023,475595,2161,2583,108301,144571,243647,335812,10091,16053,1522,1790,9315,14987,754,912,344755,493251,5144,6471,247651,141403,130349,192264,27030,55914,697,888,21545,3694,3702,12396,114200,161417,2835,2164,75014,92014,49012,64036
2015-08-22,220952,270280,2179,2960,66761,106560,137183,181013,113402,57102,12455,14744,433359,585500,686206,1144243,516387,306408,3868,5042,269099,156247,244489,169230,204580,312325,1850,2139,109523,67613,106497,77930,458548,492036,2135,2702,116291,133493,334975,386254,7911,12087,1377,1671,6885,10403,1146,1253,361733,510200,2981,4131,225323,134074,160619,218698,22107,48870,717,897,17653,2825,3759,12680,146461,184893,2619,1951,82683,96035,69822,78867
2015-08-23,309786,392956,2748,2969,95219,127918,236005,260389,126136,63424,12757,14772,466457,673535,966161,1316501,621212,371178,3985,4835,330062,187233,290321,208407,227538,355926,2075,2419,119854,98839,128399,106735,546928,531478,2410,2558,140943,134353,389626,465242,7636,11468,1501,1813,6838,10129,976,1130,411225,572113,3456,4016,253112,149178,183153,290863,24634,54473,643,800,19123,3489,4142,14118,145162,234022,2627,1829,97531,104438,62598,87094
2015-08-24,253709,365280,3592,2923,111832,182609,115508,174707,124328,66307,9557,13548,573673,922523,758633,1096149,733102,407241,3732,4465,453224,240091,312719,195557,254146,329010,2093,2325,131505,108421,96012,77053,414855,504469,1974,2446,135486,150842,294975,370871,11064,16860,1428,1719,10421,15150,964,1140,394033,588721,5527,6476,274120,164206,142899,214975,28812,59502,719,872,24186,4021,4041,12929,129345,190562,2500,2082,93457,106999,48321,69428
2015-08-25,237772,337593,2701,2836,108655,177411,100754,155623,114966,67097,10576,17530,549329,787937,647955,1065993,789063,444379,3730,4771,515837,252447,343464,215097,243961,308058,1855,2342,129050,90249,95214,82036,397868,475428,2016,2517,131531,174578,246456,326642,11756,18141,1724,2037,11202,16773,916,1064,398459,583311,5728,7017,277253,201062,137882,200623,28324,60240,719,847,24996,4079,4004,13195,123275,194139,2551,1921,85627,102881,47557,66134
2015-08-26,214103,298600,2482,2669,100307,147157,100978,140468,115922,65309,11726,17573,507025,717022,586715,1002130,828132,464225,3887,5303,521930,262916,358583,216223,200401,347284,2581,2570,124816,98387,103597,70986,384667,492405,2391,2613,129432,159091,253498,322865,14025,17959,1357,1594,11440,16992,813,879,395396,549428,5881,7136,271046,171252,131423,204570,29896,57534,711,897,24167,3931,3809,12444,128322,188602,2836,2610,88054,108823,50568,67812
2015-08-27,229105,312069,2085,2497,109792,146418,96869,156332,115032,62892,10112,18779,515763,728570,635456,1006581,814538,460678,4373,5221,507736,255713,350659,210714,212569,331751,1939,1908,123782,95931,102295,74679,367800,491431,2193,2762,157140,153959,288547,313967,11721,16979,1348,1760,11289,15992,865,936,385254,535104,5898,6537,267886,157978,127846,198618,28828,58491,661,832,23602,4965,4045,13324,131858,194162,2813,2478,88830,113619,49325,71929
2015-08-28,254094,394203,2772,3484,90386,142572,111838,189523,111891,64925,11710,17587,499304,733340,649762,975821,656927,391335,4807,5931,400270,210487,292696,185621,213165,334495,2357,3366,121955,90505,96265,72161,397042,456510,2744,3038,118575,147395,259568,293719,12375,16124,1892,2553,11836,15050,904,1100,383430,536581,5835,6902,271933,151928,128092,195352,27139,55911,842,1073,21795,3915,3580,15484,140692,189964,3327,2656,94259,111804,51326,79367
2015-08-29,231595,296661,2377,2731,72897,103295,123546,184644,111004,58849,11189,17811,445957,642420,769707,1170588,547776,331279,4341,4989,293701,160288,261333,181568,211586,301600,1848,2167,101015,71974,100352,85660,445464,504484,2502,3002,119946,145336,306941,370740,8572,11238,1526,1651,7927,10116,800,846,380259,519820,5601,6905,229752,138766,150162,211807,24390,50099,611,815,18651,3254,3673,15204,144398,189164,2926,2072,86999,102086,63566,83684
